run,experiment,data_kind,n,mode,trial,case_id,queries,median_ms,p95_ms,p99_ms,accept_median_ms,accept_cpu_mean_ms,rss_after_MiB,rss_before_MiB,ru_maxrss_MiB_DO_NOT_USE_AS_PHASE_PEAK,memory_limit_MiB,pressure_buffer_MiB,accepted,mean_json_body_bytes,selected_payload_sha256,timing_scope
HPC,local,ethereum_rpc_finalized_json,69,archive,2,0056-ethereum_rpc_finalized_json-n69-archive-t2-local,200,3.5857305,7.135094949999999,7.18167479,3.5849124999999997,3.8218076500000002,24.69921875,21.7734375,141.57421875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,archive,3,0071-ethereum_rpc_finalized_json-n69-archive-t3-local,200,3.6132425,7.372433149999999,7.42945634,3.61235,3.847023075,24.91796875,21.80859375,142.46875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,archive,4,0051-ethereum_rpc_finalized_json-n69-archive-t4-local,200,3.5844785000000003,7.5257060000000005,7.58489765,3.583731,3.854452365,26.6796875,21.40625,141.57421875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,ext_cached,0,0068-ethereum_rpc_finalized_json-n69-ext_cached-t0-local,200,3.590766,7.3576875,7.405566469999999,3.5898655,3.727484585,24.8203125,21.7734375,142.46875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,ext_cached,1,0007-ethereum_rpc_finalized_json-n69-ext_cached-t1-local,200,3.2344144999999997,6.70714805,6.73444961,3.2336460000000002,3.549860545,25.2421875,21.81640625,138.73046875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,ext_cached,2,0005-ethereum_rpc_finalized_json-n69-ext_cached-t2-local,200,3.5893154999999997,7.1398411500000005,7.16285675,3.588555,3.83553071,24.5703125,21.62890625,137.66796875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,ext_cached,3,0004-ethereum_rpc_finalized_json-n69-ext_cached-t3-local,200,3.6318165000000002,7.49490875,7.58986277,3.6309495,3.85209066,24.78515625,21.625,137.66796875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,ext_cached,4,0044-ethereum_rpc_finalized_json-n69-ext_cached-t4-local,200,3.5711765,7.4881907000000005,7.526966879999999,3.5704325,3.838604595,26.8046875,21.51953125,141.57421875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,ext_rebuild,0,0008-ethereum_rpc_finalized_json-n69-ext_rebuild-t0-local,200,3.5861675,7.350762249999998,7.53298082,3.5853675000000003,3.72757603,24.6875,21.46484375,138.73046875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,ext_rebuild,1,0006-ethereum_rpc_finalized_json-n69-ext_rebuild-t1-local,200,3.262705,6.7187199,6.808535749999999,3.2618365,3.56988027,25.140625,21.7109375,138.73046875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
