run,transition,fault,replicates_at_this_fault,recovery_ms,status,case_wall_ms,expected_active_mode,actual_active_mode,child_exit_code,journals_found,temporary_metadata_files,unreferenced_target_objects_cleaned,pre_audit_positions,post_audit_positions
Pi_WiFi,full->ext,crash_after_metadata_swap,1,9.184445,PASS,479.398948,ext,ext,87,1,0,0,512,512
Pi_WiFi,leaf->ext,crash_after_root_verify,1,7.475694,PASS,586.50113,leaf,leaf,81,0,0,0,512,512
Pi_WiFi,leaf->ext,crash_after_target_create,1,7.962334,PASS,595.217397,leaf,leaf,82,0,0,1,512,512
Pi_WiFi,leaf->ext,crash_before_metadata_swap,1,7.997723,PASS,603.394284,leaf,leaf,83,1,0,1,512,512
Pi_WiFi,leaf->ext,crash_during_metadata_write,1,8.030315,PASS,614.506271,leaf,leaf,86,1,1,1,512,512
Pi_WiFi,leaf->ext,crash_after_metadata_swap,1,8.425808,PASS,548.568147,ext,ext,87,1,0,0,512,512
Pi_WiFi,ext->leaf,crash_after_root_verify,1,8.630917,PASS,503.262987,ext,ext,81,0,0,0,512,512
Pi_WiFi,ext->leaf,crash_after_target_create,1,9.229259,PASS,510.464316,ext,ext,82,0,0,1,512,512
Pi_WiFi,ext->leaf,crash_before_metadata_swap,1,9.176796,PASS,524.764511,ext,ext,83,1,0,1,512,512
Pi_WiFi,ext->leaf,crash_during_metadata_write,1,9.222685,PASS,529.400325,ext,ext,86,1,1,1,512,512
Pi_WiFi,ext->leaf,crash_after_metadata_swap,1,8.748192,PASS,607.908579,leaf,leaf,87,1,0,0,512,512
Pi_WiFi,ext->full,crash_after_root_verify,1,8.768303,PASS,503.989289,ext,ext,81,0,0,0,512,512
Pi_WiFi,ext->full,crash_after_target_create,1,9.059391,PASS,512.792424,ext,ext,82,0,0,1,512,512
Pi_WiFi,ext->full,crash_before_metadata_swap,1,9.268721,PASS,526.171301,ext,ext,83,1,0,1,512,512
Pi_WiFi,ext->full,crash_during_metadata_write,1,9.23474,PASS,534.224819,ext,ext,86,1,1,1,512,512
