run,data_kind,n,mode,trials,canonical_envelope_overhead_bytes_median,canonical_envelope_overhead_bytes_min,canonical_envelope_overhead_bytes_max,canonical_envelope_overhead_bytes_count,canonical_envelope_overhead_bytes_missing,certificate_bytes_median,certificate_bytes_min,certificate_bytes_max,certificate_bytes_count,certificate_bytes_missing,descriptor_serialized_bytes_median,descriptor_serialized_bytes_min,descriptor_serialized_bytes_max,descriptor_serialized_bytes_count,descriptor_serialized_bytes_missing,operational_total_bytes_median,operational_total_bytes_min,operational_total_bytes_max,operational_total_bytes_count,operational_total_bytes_missing,paper_descriptor_bytes_median,paper_descriptor_bytes_min,paper_descriptor_bytes_max,paper_descriptor_bytes_count,paper_descriptor_bytes_missing,provider_allocated_bytes_median,provider_allocated_bytes_min,provider_allocated_bytes_max,provider_allocated_bytes_count,provider_allocated_bytes_missing,provider_internal_cached_support_bytes_median,provider_internal_cached_support_bytes_min,provider_internal_cached_support_bytes_max,provider_internal_cached_support_bytes_count,provider_internal_cached_support_bytes_missing,provider_payload_bytes_median,provider_payload_bytes_min,provider_payload_bytes_max,provider_payload_bytes_count,provider_payload_bytes_missing,provider_support_bytes_median,provider_support_bytes_min,provider_support_bytes_max,provider_support_bytes_count,provider_support_bytes_missing,provider_total_bytes_median,provider_total_bytes_min,provider_total_bytes_max,provider_total_bytes_count,provider_total_bytes_missing,raw_opaque_payload_bytes_median,raw_opaque_payload_bytes_min,raw_opaque_payload_bytes_max,raw_opaque_payload_bytes_count,raw_opaque_payload_bytes_missing,setup_allocated_bytes_median,setup_allocated_bytes_min,setup_allocated_bytes_max,setup_allocated_bytes_count,setup_allocated_bytes_missing,setup_payload_bytes_median,setup_payload_bytes_min,setup_payload_bytes_max,setup_payload_bytes_count,setup_payload_bytes_missing,setup_signing_key_bytes_median,setup_signing_key_bytes_min,setup_signing_key_bytes_max,setup_signing_key_bytes_count,setup_signing_key_bytes_missing,setup_support_bytes_median,setup_support_bytes_min,setup_support_bytes_max,setup_support_bytes_count,setup_support_bytes_missing,setup_total_bytes_median,setup_total_bytes_min,setup_total_bytes_max,setup_total_bytes_count,setup_total_bytes_missing,support_metadata_bytes_median,support_metadata_bytes_min,support_metadata_bytes_max,support_metadata_bytes_count,support_metadata_bytes_missing,total_materialized_bytes_median,total_materialized_bytes_min,total_materialized_bytes_max,total_materialized_bytes_count,total_materialized_bytes_missing,verifier_allocated_bytes_median,verifier_allocated_bytes_min,verifier_allocated_bytes_max,verifier_allocated_bytes_count,verifier_allocated_bytes_missing,verifier_payload_bytes_median,verifier_payload_bytes_min,verifier_payload_bytes_max,verifier_payload_bytes_count,verifier_payload_bytes_missing,verifier_support_bytes_median,verifier_support_bytes_min,verifier_support_bytes_max,verifier_support_bytes_count,verifier_support_bytes_missing,verifier_total_bytes_median,verifier_total_bytes_min,verifier_total_bytes_max,verifier_total_bytes_count,verifier_total_bytes_missing,physical_deployed_case_total_bytes_median,physical_deployed_case_total_bytes_min,physical_deployed_case_total_bytes_max,physical_deployed_case_total_bytes_count,physical_deployed_case_total_bytes_missing,provider_setup_descriptor_replica_bytes_median,provider_setup_descriptor_replica_bytes_min,provider_setup_descriptor_replica_bytes_max,provider_setup_descriptor_replica_bytes_count,provider_setup_descriptor_replica_bytes_missing
Pi_Ethernet2,ethereum_rpc_finalized_json,69,archive,5,2484,2484,2484,5,0,253,253,253,5,0,915,915,915,5,0,33549767,33549767,33549767,5,0,126,126,126,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,33537465,33537465,33537465,5,0,4096,4096,4096,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,32,32,32,5,0,166,166,166,5,0,33549799,33549799,33549799,5,0,33701888,33701888,33701888,5,0,33539949,33539949,33539949,5,0,8160,8160,8160,5,0,33549767,33549767,33549767,5,0,,,,,,,,,,
Pi_Ethernet2,ethereum_rpc_finalized_json,69,ext_cached,5,2484,2484,2484,5,0,253,253,253,5,0,918,918,918,5,0,33549773,33549773,33549773,5,0,126,126,126,5,0,33697792,33697792,33697792,5,0,8160,8160,8160,5,0,33539949,33539949,33539949,5,0,8160,8160,8160,5,0,33548855,33548855,33548855,5,0,33537465,33537465,33537465,5,0,4096,4096,4096,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,32,32,32,5,0,166,166,166,5,0,33549805,33549805,33549805,5,0,4096,4096,4096,5,0,0,0,0,5,0,0,0,0,5,0,918,918,918,5,0,33550723,33550723,33550723,5,0,918,918,918,5,0
Pi_Ethernet2,ethereum_rpc_finalized_json,69,ext_rebuild,5,2484,2484,2484,5,0,253,253,253,5,0,912,912,912,5,0,33541435,33541435,33541435,5,0,126,126,126,5,0,33685504,33685504,33685504,5,0,0,0,0,5,0,33539949,33539949,33539949,5,0,0,0,0,5,0,33540523,33540523,33540523,5,0,33537465,33537465,33537465,5,0,4096,4096,4096,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,33541467,33541467,33541467,5,0,4096,4096,4096,5,0,0,0,0,5,0,0,0,0,5,0,912,912,912,5,0,33542379,33542379,33542379,5,0,912,912,912,5,0
Pi_Ethernet2,ethereum_rpc_finalized_json,69,full,5,2484,2484,2484,5,0,253,253,253,5,0,912,912,912,5,0,33549761,33549761,33549761,5,0,126,126,126,5,0,33697792,33697792,33697792,5,0,0,0,0,5,0,33539949,33539949,33539949,5,0,8160,8160,8160,5,0,33548849,33548849,33548849,5,0,33537465,33537465,33537465,5,0,4096,4096,4096,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,32,32,32,5,0,166,166,166,5,0,33549793,33549793,33549793,5,0,4096,4096,4096,5,0,0,0,0,5,0,0,0,0,5,0,912,912,912,5,0,33550705,33550705,33550705,5,0,912,912,912,5,0
Pi_Ethernet2,ethereum_rpc_finalized_json,69,leaf,5,2484,2484,2484,5,0,253,253,253,5,0,914,914,914,5,0,33545657,33545657,33545657,5,0,126,126,126,5,0,33693696,33693696,33693696,5,0,0,0,0,5,0,33539949,33539949,33539949,5,0,4096,4096,4096,5,0,33544743,33544743,33544743,5,0,33537465,33537465,33537465,5,0,4096,4096,4096,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,32,32,32,5,0,122,122,122,5,0,33545689,33545689,33545689,5,0,4096,4096,4096,5,0,0,0,0,5,0,0,0,0,5,0,914,914,914,5,0,33546603,33546603,33546603,5,0,914,914,914,5,0
Pi_Ethernet2,synthetic,512,archive,5,18432,18432,18432,5,0,253,253,253,5,0,912,912,912,5,0,1101404,1101404,1101404,5,0,126,126,126,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,1048576,1048576,1048576,5,0,4096,4096,4096,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,32,32,32,5,0,174,174,174,5,0,1101436,1101436,1101436,5,0,2146304,2146304,2146304,5,0,1067008,1067008,1067008,5,0,32736,32736,32736,5,0,1101404,1101404,1101404,5,0,,,,,,,,,,
Pi_Ethernet2,synthetic,512,ext_cached,5,18432,18432,18432,5,0,253,253,253,5,0,915,915,915,5,0,1101410,1101410,1101410,5,0,126,126,126,5,0,2142208,2142208,2142208,5,0,32736,32736,32736,5,0,1067008,1067008,1067008,5,0,32736,32736,32736,5,0,1100495,1100495,1100495,5,0,1048576,1048576,1048576,5,0,4096,4096,4096,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,32,32,32,5,0,174,174,174,5,0,1101442,1101442,1101442,5,0,4096,4096,4096,5,0,0,0,0,5,0,0,0,0,5,0,915,915,915,5,0,1102357,1102357,1102357,5,0,915,915,915,5,0
Pi_Ethernet2,synthetic,512,ext_rebuild,5,18432,18432,18432,5,0,253,253,253,5,0,909,909,909,5,0,1068488,1068488,1068488,5,0,126,126,126,5,0,2105344,2105344,2105344,5,0,0,0,0,5,0,1067008,1067008,1067008,5,0,0,0,0,5,0,1067579,1067579,1067579,5,0,1048576,1048576,1048576,5,0,4096,4096,4096,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,1068520,1068520,1068520,5,0,4096,4096,4096,5,0,0,0,0,5,0,0,0,0,5,0,909,909,909,5,0,1069429,1069429,1069429,5,0,909,909,909,5,0
Pi_Ethernet2,synthetic,512,full,5,18432,18432,18432,5,0,253,253,253,5,0,909,909,909,5,0,1101398,1101398,1101398,5,0,126,126,126,5,0,2142208,2142208,2142208,5,0,0,0,0,5,0,1067008,1067008,1067008,5,0,32736,32736,32736,5,0,1100489,1100489,1100489,5,0,1048576,1048576,1048576,5,0,4096,4096,4096,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,32,32,32,5,0,174,174,174,5,0,1101430,1101430,1101430,5,0,4096,4096,4096,5,0,0,0,0,5,0,0,0,0,5,0,909,909,909,5,0,1102339,1102339,1102339,5,0,909,909,909,5,0
Pi_Ethernet2,synthetic,512,leaf,5,18432,18432,18432,5,0,253,253,253,5,0,911,911,911,5,0,1084998,1084998,1084998,5,0,126,126,126,5,0,2125824,2125824,2125824,5,0,0,0,0,5,0,1067008,1067008,1067008,5,0,16384,16384,16384,5,0,1084087,1084087,1084087,5,0,1048576,1048576,1048576,5,0,4096,4096,4096,5,0,0,0,0,5,0,32,32,32,5,0,0,0,0,5,0,32,32,32,5,0,122,122,122,5,0,1085030,1085030,1085030,5,0,4096,4096,4096,5,0,0,0,0,5,0,0,0,0,5,0,911,911,911,5,0,1085941,1085941,1085941,5,0,911,911,911,5,0
