run,data_kind,n,mode,source,trials,median_ms_median,median_ms_min,median_ms_max,median_ms_count,median_ms_missing,p95_ms_median,p95_ms_min,p95_ms_max,p95_ms_count,p95_ms_missing,payload_read_bytes_per_query_median,payload_read_bytes_per_query_min,payload_read_bytes_per_query_max,payload_read_bytes_per_query_count,payload_read_bytes_per_query_missing,provider_cpu_ms_per_query_median,provider_cpu_ms_per_query_min,provider_cpu_ms_per_query_max,provider_cpu_ms_per_query_count,provider_cpu_ms_per_query_missing,queries_median,queries_min,queries_max,queries_count,queries_missing,rss_bytes_median,rss_bytes_min,rss_bytes_max,rss_bytes_count,rss_bytes_missing,support_read_bytes_per_query_median,support_read_bytes_per_query_min,support_read_bytes_per_query_max,support_read_bytes_per_query_count,support_read_bytes_per_query_missing,witness_generate_median_ms_median,witness_generate_median_ms_min,witness_generate_median_ms_max,witness_generate_median_ms_count,witness_generate_median_ms_missing
Pi_Ethernet2,synthetic,512,ext_rebuild,warm_network_queries,5,76.0202525,75.79425549999999,76.09006550000001,5,0,76.76515210000001,76.32068154999999,76.8432941,5,0,1067008.0,1067008.0,1067008.0,5,0,76.232308845,76.00619257,76.33097052500001,5,0,200,200,200,5,0,116150272,116150272,117317632,5,0,0.0,0.0,0.0,5,0,18.945956000000002,18.893101,19.0400275,5,0
Pi_Ethernet2,synthetic,512,full,proof_fixture_preparation,5,1.3751105,1.356407,1.3830550000000001,5,0,1.4439335,1.4194434999999999,2.44645225,5,0,2084.0,2084.0,2084.0,5,0,1.3836285625,1.3613993125,1.5514179375,5,0,16,16,16,5,0,116867072,29401088,117514240,5,0,288.0,288.0,288.0,5,0,0.42782699999999996,0.4258365,0.43180850000000004,5,0
Pi_Ethernet2,synthetic,512,full,warm_network_queries,5,1.3602495000000001,1.353879,1.3721204999999999,5,0,1.4030632,1.3942761,3.7501596,5,0,2084.0,2084.0,2084.0,5,0,1.3570154950000002,1.348575125,1.516836955,5,0,200,200,200,5,0,116867072,29396992,117514240,5,0,288.0,288.0,288.0,5,0,0.423985,0.41921600000000003,0.4246335,5,0
Pi_Ethernet2,synthetic,512,leaf,proof_fixture_preparation,5,1.7382445,1.7143565,1.7641149999999999,5,0,1.86775625,1.739986,2.90610275,5,0,2084.0,2084.0,2084.0,5,0,1.7521133125,1.7020056875,1.8709849375,5,0,16,16,16,5,0,116150272,116150272,117514240,5,0,16384.0,16384.0,16384.0,5,0,0.6117135,0.6043345,0.634815,5,0
Pi_Ethernet2,synthetic,512,leaf,warm_network_queries,5,1.73729,1.6997825,2.65487,5,0,2.68201935,1.7647363499999997,2.8577115999999996,5,0,2084.0,2084.0,2084.0,5,0,1.87917143,1.79460247,2.689726605,5,0,200,200,200,5,0,116150272,116150272,117514240,5,0,16384.0,16384.0,16384.0,5,0,0.614806,0.5982605000000001,0.96107,5,0
Pi_Ethernet2,synthetic,4096,archive,proof_fixture_preparation,5,1.290766,1.2768025,1.3055615,5,0,1.36351875,1.34186625,1.4480222500000002,5,0,2084.0,2084.0,2084.0,5,0,1.2952233125,1.2856921875,1.325033625,5,0,16,16,16,5,0,,,,0,5,384.0,384.0,384.0,5,0,0.3799845,0.373837,0.38043000000000005,5,0
Pi_Ethernet2,synthetic,4096,ext_cached,proof_fixture_preparation,5,1.4285725,1.4056285,1.435934,5,0,1.478748,1.458406,1.49807125,5,0,2084.0,2084.0,2084.0,5,0,1.4248230625,1.4118736875,1.430811375,5,0,16,16,16,5,0,117317632,50839552,117514240,5,0,384.0,384.0,384.0,5,0,0.47193850000000004,0.469854,0.475123,5,0
Pi_Ethernet2,synthetic,4096,ext_cached,warm_network_queries,5,1.4099705,1.3867665,1.4113419999999999,5,0,1.46249075,1.43667325,3.9082463,5,0,2084.0,2084.0,2084.0,5,0,1.41433317,1.397322675,1.576688895,5,0,200,200,200,5,0,117317632,50839552,117514240,5,0,384.0,384.0,384.0,5,0,0.46897500000000003,0.4627985,0.47067000000000003,5,0
Pi_Ethernet2,synthetic,4096,ext_rebuild,proof_fixture_preparation,5,600.0597825,598.074564,600.840637,5,0,602.81923175,600.50288675,604.1675600000001,5,0,8536064.0,8536064.0,8536064.0,5,0,599.53731,597.945657125,600.8021806875,5,0,16,16,16,5,0,115232768,115232768,116867072,5,0,0.0,0.0,0.0,5,0,150.89289250000002,150.639215,151.2777785,5,0
Pi_Ethernet2,synthetic,4096,ext_rebuild,warm_network_queries,5,599.5019475,597.4794995,602.26594,5,0,601.4917463500001,599.9496268,604.3654043,5,0,8536064.0,8536064.0,8536064.0,5,0,599.5989443999999,597.61927519,602.173129045,5,0,200,200,200,5,0,115232768,115232768,116867072,5,0,0.0,0.0,0.0,5,0,150.9162965,150.3478045,152.04896150000002,5,0
Pi_Ethernet2,synthetic,4096,full,proof_fixture_preparation,5,1.4247215,1.412609,1.442786,5,0,1.50662825,1.4832527500000001,1.515072,5,0,2084.0,2084.0,2084.0,5,0,1.427608625,1.416240625,1.4342905,5,0,16,16,16,5,0,115232768,115183616,117317632,5,0,384.0,384.0,384.0,5,0,0.4705765,0.467419,0.4753455,5,0
Pi_Ethernet2,synthetic,4096,full,warm_network_queries,5,1.401185,1.3929705000000001,1.4140920000000001,5,0,1.4550642,1.44216865,1.4633997,5,0,2084.0,2084.0,2084.0,5,0,1.4032703899999999,1.39607098,1.4164684550000002,5,0,200,200,200,5,0,115232768,115183616,117317632,5,0,384.0,384.0,384.0,5,0,0.466873,0.4656595,0.47265100000000004,5,0
Pi_Ethernet2,synthetic,4096,leaf,proof_fixture_preparation,5,4.5882425,4.5233085,4.861933499999999,5,0,4.71059825,4.5647525,4.9699375,5,0,2084.0,2084.0,2084.0,5,0,4.58711575,4.510048625,4.857292625,5,0,16,16,16,5,0,115232768,115232768,117317632,5,0,131072.0,131072.0,131072.0,5,0,2.436791,2.348005,2.5576685,5,0
Pi_Ethernet2,synthetic,4096,leaf,warm_network_queries,5,8.429876,8.328497500000001,8.702021,5,0,9.482846149999999,9.4180184,9.843195549999999,5,0,2084.0,2084.0,2084.0,5,0,8.260789684999999,8.004910605000001,8.442006894999999,5,0,200,200,200,5,0,115232768,115232768,117317632,5,0,131072.0,131072.0,131072.0,5,0,4.5462535,4.4778649999999995,4.684214,5,0
Pi_WiFi,ethereum_rpc_finalized_json,69,archive,proof_fixture_preparation,5,6.9003945,6.4784065,7.045221,5,0,10.94805525,10.6395445,12.936874,5,0,482519.75,453988.0,485041.375,5,0,7.223009125,6.8721725,7.254028875,5,0,16,16,16,5,0,,,,0,5,224.0,224.0,224.0,5,0,0.492271,0.48603850000000004,0.5342045,5,0
Pi_WiFi,ethereum_rpc_finalized_json,69,ext_cached,proof_fixture_preparation,5,8.5547585,7.4676755,12.081465000000001,5,0,17.48391075,14.1858735,28.047032,5,0,482519.75,453988.0,485041.375,5,0,9.22416775,8.7863355625,13.8793993125,5,0,16,16,16,5,0,136654848,136519680,138809344,5,0,224.0,224.0,224.0,5,0,0.5934745,0.5678725,0.7554995,5,0
Pi_WiFi,ethereum_rpc_finalized_json,69,ext_cached,warm_network_queries,5,8.2284375,7.9290345,9.2651805,5,0,19.838373799999992,14.91421795,23.669522199999996,5,0,485743.41,453715.63,488224.11,5,0,9.66176014,9.01774442,10.557800455,5,0,200,200,200,5,0,136654848,136519680,138809344,5,0,224.0,224.0,224.0,5,0,0.598345,0.568808,0.6329465000000001,5,0
Pi_WiFi,ethereum_rpc_finalized_json,69,ext_rebuild,proof_fixture_preparation,5,273.995451,271.4462935,276.621549,5,0,290.70887225,287.41960475,294.08003625000003,5,0,33539949.0,33539949.0,33539949.0,5,0,277.433354125,274.5906851875,278.322483,5,0,16,16,16,5,0,137240576,136519680,138809344,5,0,0.0,0.0,0.0,5,0,220.397286,219.83723350000002,221.1077225,5,0
Pi_WiFi,ethereum_rpc_finalized_json,69,ext_rebuild,warm_network_queries,5,275.3552145,272.30350150000004,276.40655,5,0,282.08026624999997,278.31209344999996,283.39017049999995,5,0,33539949.0,33539949.0,33539949.0,5,0,276.26310608,273.265315875,277.45525225,5,0,200,200,200,5,0,137240576,136519680,138809344,5,0,0.0,0.0,0.0,5,0,220.983242,219.9944165,221.4186775,5,0
Pi_WiFi,ethereum_rpc_finalized_json,69,full,proof_fixture_preparation,5,8.133065,7.905409000000001,13.516646999999999,5,0,17.28410175,14.83162,18.948109,5,0,482519.75,453988.0,485041.375,5,0,9.2962521875,8.3739895,13.319947875,5,0,16,16,16,5,0,137592832,136519680,138809344,5,0,224.0,224.0,224.0,5,0,0.6072605,0.5763445,0.878034,5,0
