transition,clean_repeats_per_platform,Pi_Ethernet2_migration_wall_ms_median,Pi_Ethernet2_migration_wall_ms_min,Pi_Ethernet2_migration_wall_ms_max,Pi_Ethernet2_migration_cpu_ms_median,Pi_Ethernet2_migration_cpu_ms_min,Pi_Ethernet2_migration_cpu_ms_max,Pi_Ethernet2_logical_io_bytes_read_median,Pi_Ethernet2_logical_io_bytes_read_min,Pi_Ethernet2_logical_io_bytes_read_max,Pi_Ethernet2_logical_io_bytes_written_median,Pi_Ethernet2_logical_io_bytes_written_min,Pi_Ethernet2_logical_io_bytes_written_max,Pi_Ethernet2_temporary_disk_bytes_median,Pi_Ethernet2_temporary_disk_bytes_min,Pi_Ethernet2_temporary_disk_bytes_max,Pi_WiFi_migration_wall_ms_median,Pi_WiFi_migration_wall_ms_min,Pi_WiFi_migration_wall_ms_max,Pi_WiFi_migration_cpu_ms_median,Pi_WiFi_migration_cpu_ms_min,Pi_WiFi_migration_cpu_ms_max,Pi_WiFi_logical_io_bytes_read_median,Pi_WiFi_logical_io_bytes_read_min,Pi_WiFi_logical_io_bytes_read_max,Pi_WiFi_logical_io_bytes_written_median,Pi_WiFi_logical_io_bytes_written_min,Pi_WiFi_logical_io_bytes_written_max,Pi_WiFi_temporary_disk_bytes_median,Pi_WiFi_temporary_disk_bytes_min,Pi_WiFi_temporary_disk_bytes_max,HPC_migration_wall_ms_median,HPC_migration_wall_ms_min,HPC_migration_wall_ms_max,HPC_migration_cpu_ms_median,HPC_migration_cpu_ms_min,HPC_migration_cpu_ms_max,HPC_logical_io_bytes_read_median,HPC_logical_io_bytes_read_min,HPC_logical_io_bytes_read_max,HPC_logical_io_bytes_written_median,HPC_logical_io_bytes_written_min,HPC_logical_io_bytes_written_max,HPC_temporary_disk_bytes_median,HPC_temporary_disk_bytes_min,HPC_temporary_disk_bytes_max
full->leaf,5,49.083375,44.836437,51.022846,18.986537,18.959259,19.050149,49216,49216,49216,16448,16448,16448,17094,17094,17094,47.970784,40.894416,53.79093,18.919686,18.853461,19.06976,49216,49216,49216,16448,16448,16448,17084,17084,17084,43.3696,41.886694,45.546303,6.421196,6.350586,6.535916,49216,49216,49216,16448,16448,16448,17104,17104,17104
leaf->full,5,49.301612,47.539934,50.14771,19.757277,19.526795,20.530167,49216,49216,49216,32768,32768,32768,33414,33414,33414,48.933453,45.996315,51.99746,19.587464,19.483522,19.697516,49216,49216,49216,32768,32768,32768,33404,33404,33404,43.02301,41.246672,44.498691,6.842682,6.740632,6.947422,49216,49216,49216,32768,32768,32768,33424,33424,33424
full->ext,5,50.80607,44.795658,54.022004,20.195704,19.915815,20.872685,65960,65960,65960,424,424,424,1067,1067,1067,47.440496,44.611893,50.465706,20.095388,19.978202,20.237425,65955,65955,65955,419,419,419,1052,1052,1052,44.135894,42.412056,45.170877,6.946528,6.912001,7.084757,65962,65962,65962,426,426,426,1079,1079,1079
leaf->ext,5,48.369068,45.12519,51.539226,19.656908,19.530759,20.190871,49640,49640,49640,424,424,424,1067,1067,1067,48.020578,41.971991,50.206562,19.786719,19.555093,19.866779,49635,49635,49635,419,419,419,1052,1052,1052,44.495132,43.104742,46.302853,6.924393,6.889368,6.956915,49642,49642,49642,426,426,426,1079,1079,1079
ext->leaf,5,100.987812,96.916742,136.698529,73.645463,73.16387,74.25663,1104363,1104363,1104363,16448,16448,16448,17091,17091,17091,99.605321,93.922469,106.644079,73.501165,73.068017,76.102575,1104358,1104358,1104358,16448,16448,16448,17081,17081,17081,731.017426,727.822377,736.876163,38.914789,38.783414,39.337523,1104365,1104365,1104365,16448,16448,16448,17101,17101,17101
ext->full,5,102.971077,97.979781,105.192137,74.323668,74.180405,75.061593,1120683,1120683,1120683,32768,32768,32768,33411,33411,33411,100.463938,99.918483,103.734773,74.067761,73.870573,74.305314,1120678,1120678,1120678,32768,32768,32768,33401,33401,33401,741.648699,730.417085,768.299376,38.411912,38.224597,41.771979,1120685,1120685,1120685,32768,32768,32768,33421,33421,33421
